Char     |Probability
©        |0.0        |169
ª        |0.0        |170
«        |0.0        |171
¬        |0.0        |172
­        |0.0        |173
®        |0.0        |174
¯        |0.0        |175       
°        |0.0        |176
±        |0.0        |177
²        |0.0        |178
³        |0.0        |179
´        |0.0        |180
µ        |0.0        |181
¶        |0.0        |182
·        |0.0        |183
¸        |0.0        |184
¹        |0.0        |185
º        |0.0        |186
»        |0.0        |187
¼        |0.0        |188
½        |0.0        |189
¾        |0.0        |190
¿        |0.0        |191
À        |0.0        |192
Á        |0.0        |193
Â        |0.0        |194
Ã        |0.0        |195
Ä        |0.0        |196
Å        |0.0        |197       
Æ        |0.0        |198
Ç        |0.0        |199
È        |0.0        |200
É        |0.0        |201
Ê        |0.0        |202
Ë        |0.0        |203
Ì        |0.0        |204
Í        |0.0        |205
Î        |0.0        |206
Ï        |0.0        |207
Ð        |0.0        |208
Ñ        |0.0        |209
Ò        |0.0        |210
Ó        |0.0        |211
Ô        |0.0        |212
Õ        |0.0        |213
Ö        |0.0        |214
×        |0.0        |215
Ø        |0.0        |216
Ù        |0.0        |217
Ú        |0.0        |218
Û        |0.0        |219
Ü        |0.0        |220
Ý        |0.0        |221
Þ        |0.0        |222
ß        |0.0        |223
à        |0.0        |224
á        |0.0        |225
â        |0.0        |226
ã        |0.0        |227       
ä        |0.0        |228
å        |0.0        |229
æ        |0.0        |230
ç        |0.0        |231
è        |0.0        |232
é        |0.0        |233
ê        |0.0        |234
ë        |0.0        |235
ì        |0.0        |236
í        |0.0        |237
î        |0.0        |238
ï        |0.0        |239
ð        |0.0        |240
ñ        |0.0        |241
ò        |0.0        |242
ó        |0.0        |243
ô        |0.0        |244
õ        |0.0        |245
ö        |0.0        |246
÷        |0.0        |247
ø        |0.0        |248
ù        |0.0        |249
ú        |0.0        |250
û        |0.0        |251
ü        |0.0        |252
ý        |0.0        |253
þ        |0.0        |254
ÿ        |0.0        |255
